Name,City,Beds,Baths,Guests,Revenue Potential,Days Available,Revenue,Occupancy,Daily Rate,Rating
Superbe Appartement en Résidence,Bondoufle,1 Bed,1 Bath,2 Guests,€7.6k,183,€6.3k,52%,€65.8,5 (0)
Charming spacious and quiet house,Bondoufle,4 Bed,2.5 Bath,8 Guests,€16.9k,34,€6.1k,21%,€871,0 (0)
Pretty air-conditioned rooms in a local home,Bondoufle,2 Bed,1 Bath,4 Guests,€21k,104,€6k,56%,€103.4,5 (13)
1 nice room Chloè near Paris,Bondoufle,1 Bed,1 Bath,2 Guests,€6.7k,301,€5.9k,43%,€45.3,5 (26)
Rooms Adele near Paris,Bondoufle,2 Bed,1 Bath,5 Guests,€6.1k,303,€4.9k,36%,€45,5 (51)
Bedroom in house in Bondoufle,Bondoufle,0 Bed,1 Bath,2 Guests,€5.1k,327,€4.8k,45%,€33,5 (39)
Bondoufle,Bondoufle,0 Bed,1 Bath,2 Guests,€6.7k,106,€4.7k,69%,€64.7,5 (17)
Apartment - Bondoufle,Bondoufle,1 Bed,1 Bath,4 Guests,€6.7k,56,€4.5k,41%,€193.6,0 (0)
Pleasant room & bathroom in a house,Bondoufle,0 Bed,1 Bath,2 Guests,€6.2k,187,€3.7k,56%,€35.6,5 (49)
Fully equipped studio independent of a house,Bondoufle,1 Bed,1 Bath,2 Guests,€3.2k,134,€3.1k,35%,€66.6,4 (4)
Grande Maison 1/2 H de Paris,Bondoufle,6 Bed,3 Bath,10 Guests,€5.1k,24,€3k,67%,€184.6,5 (3)
Room in house.,Bondoufle,0 Bed,1 Bath,2 Guests,€2.7k,24,€2.7k,92%,€120.9,5 (1)
"T4, small haven of peace, Paris 30 km Orly 20 km!",Bondoufle,3 Bed,2 Bath,5 Guests,€15.6k,70,€2.5k,31%,€115.5,2 (1)
Charmante maison spacieuse & calme,Bondoufle,4 Bed,2 Bath,8 Guests,€33.8k,11,€1.6k,45%,€318.3,5 (1)
Red Bedroom (2) in Bondoufle,Bondoufle,1 Bed,1 Bath,2 Guests,€1.7k,144,€1.4k,25%,€40.1,5 (16)
House in Bondy – 10 ppl,Bondy,5 Bed,4 Bath,10 Guests,€70k,241,€69.5k,34%,€848,0 (0)
"Grand Paris, private parking, balcony and RER. 24/7",Bondy,2 Bed,1 Bath,8 Guests,€41.9k,342,€40.3k,72%,€163.7,5 (38)
Apartment ideal holiday,Bondy,2 Bed,1 Bath,6 Guests,€36.2k,361,€35.7k,90%,€109.4,5 (71)
Like at home (Paris 15 min),Bondy,3 Bed,2 Bath,10 Guests,€55.8k,100,€31.9k,65%,€491,5 (43)
"65m2 Avec Garage, Balcon. Idéal Paris, Disney, CDG",Bondy,2 Bed,1 Bath,8 Guests,€33.6k,280,€29.5k,56%,€186.5,5 (2)
Musician's house with piano and rustic charm,Bondy,4 Bed,2 Bath,8 Guests,€32k,319,€28.6k,91%,€99,4 (158)
Airbnb To Remember,Bondy,2 Bed,1 Bath,5 Guests,€28.5k,365,€28.4k,77%,€100.6,5 (158)
Beautiful apartment T2 in a great location,Bondy,1 Bed,1.5 Bath,4 Guests,€22.9k,363,€22.8k,88%,€70.9,5 (46)
Secure parking - 6 Pers - 12 min from Paris by RER,Bondy,2 Bed,1 Bath,6 Guests,€22.2k,314,€21.6k,57%,€120.9,5 (15)
Kabala: ParisNord|Villepinte|CDG|StadedeFrance,Bondy,3 Bed,2 Bath,8 Guests,€21.9k,217,€21.5k,61%,€163.3,5 (25)
Mon Cottage,Bondy,1 Bed,1.5 Bath,4 Guests,€22.1k,347,€21.2k,86%,€71.1,5 (77)
House with garden - 10 min from Paris - Free Parking,Bondy,3 Bed,2 Bath,6 Guests,€24.3k,242,€20k,48%,€172.3,5 (14)
Budget apart with balcony near Paris,Bondy,1 Bed,1 Bath,2 Guests,€21.4k,312,€19.9k,57%,€112.4,3 (1)
B12 Luxieux Gare Paris Disney by Villa Dengous,Bondy,2 Bed,1 Bath,6 Guests,€20.1k,359,€19.6k,56%,€97.1,5 (19)
"House Facing the train station, 10 min from Paris",Bondy,4 Bed,2 Bath,9 Guests,€22.2k,258,€19k,36%,€201.7,5 (30)
Globe Trotteur,Bondy,1 Bed,1 Bath,4 Guests,€20.2k,326,€18.5k,83%,€68.1,5 (69)
Relaxation area downtown,Bondy,1 Bed,1 Bath,2 Guests,€20.8k,317,€18k,81%,€69.7,5 (33)
"Beau F2 proche PARIS, stade de France, Roissy CDG",Bondy,1 Bed,1 Bath,3 Guests,€19.8k,321,€17.5k,76%,€71.8,5 (143)
"Country house with swimming pool, fitness, billiards, badminton, table tennis",Bonnelles,4 Bed,3.5 Bath,10 Guests,€109.1k,116,€107.9k,100%,€930.2,0 (0)
Tranquil Villa with a Swimming Pool,Bonnelles,2 Bed,2 Bath,6 Guests,€23.7k,154,€21k,44%,€312.8,5 (7)
Loft in bell tower facing the castle,Bonnelles,1 Bed,1 Bath,4 Guests,€19.7k,365,€19.7k,32%,€169.8,5 (19)
Chambre de l 'Ingénieur,Bonnelles,1 Bed,1 Bath,2 Guests,€18.3k,287,€18.3k,50%,€127.8,0 (0)
Studio Duplex Avec spa et Cour Privée,Bonnelles,0 Bed,1 Bath,4 Guests,€18.7k,243,€17.8k,51%,€143.9,0 (0)
Duplex studio with spa and private courtyard,Bonnelles,0 Bed,0 Bath,4 Guests,€18.5k,349,€17.2k,59%,€83.7,5 (26)
Chambre de l 'Architecte,Bonnelles,0 Bed,1 Bath,2 Guests,€15.2k,318,€15.2k,37%,€128.8,5 (1)
Studio in the stables of the castle,Bonnelles,0 Bed,0 Bath,2 Guests,€13.5k,336,€12.3k,68%,€54.3,5 (54)
Studio Dans les Écuries du Château,Bonnelles,0 Bed,1 Bath,2 Guests,€9.4k,235,€9k,51%,€75.3,0 (0)
2 rooms the stables of the castle,Bonnelles,1 Bed,1.5 Bath,4 Guests,€14.2k,191,€8k,54%,€77.9,5 (21)
Charming Studio La Belle Step,Bonnelles,1 Bed,1 Bath,2 Guests,€10.1k,170,€7.9k,69%,€67.8,5 (26)
Country house swimming pool / fitness / billiards.,Bonnelles,4 Bed,3.5 Bath,10 Guests,€4.3k,30,€4.3k,20%,€718.2,5 (1)
Pool sauna jacuzzi night,Bonnelles,1 Bed,1 Bath,2 Guests,€400.6,28,€400.6,4%,€400.6,0 (0)
Magnificent duplex Dugny,Bonneuil-en-France,3 Bed,1 Bath,7 Guests,€17.5k,58,€17.5k,53%,€564.2,0 (0)
house in secure residence,Bonneuil-en-France,2 Bed,1.5 Bath,3 Guests,€8.8k,153,€8.2k,48%,€110.4,5 (3)
"Beautiful 80 m2 HOUSE, close to CDG✈️ & PARIS",Bonneuil-en-France,2 Bed,1 Bath,5 Guests,€2.3k,91,€1.6k,11%,€158.6,5 (49)
meublé et proche des commerces,Bonneuil-en-France,1 Bed,1 Bath,2 Guests,€1.3k,82,€1.3k,34%,€45.9,0 (0)
HOUSE 30m2 near CDG/LBG AIRPORTS,Bonneuil-en-France,1 Bed,1 Bath,2 Guests,€1.1k,130,€1.1k,9%,€90.3,5 (30)
Apartment + T2 terrace,Bonneuil-en-France,1 Bed,1 Bath,3 Guests,€751.6,27,€577,4%,€577,0 (0)
cosy village,Bonneuil-en-France,1 Bed,1 Bath,4 Guests,€1.5k,59,€491.6,8%,€98.3,0 (0)
Beautiful Studio,Bonneuil-en-France,1 Bed,1 Bath,2 Guests,€212.2,32,€212.2,9%,€70.8,0 (0)
Apartment - Paris | Le Bourget,Bonneuil-en-France,1 Bed,1 Bath,2 Guests,€279.3,36,€165.4,6%,€82.7,0 (0)
warm and friendly,Bonneuil-en-France,1 Bed,1 Bath,4 Guests,€136,28,€136,4%,€136,0 (0)
Recent detached house,Bonneuil-sur-Marne,5 Bed,2 Bath,9 Guests,€32.4k,43,€32.4k,65%,€1.2k,0 (0)
"Between Paris and Disneyland, air-conditioned maisonette",Bonneuil-sur-Marne,2 Bed,1 Bath,6 Guests,€23.4k,283,€19.9k,48%,€145.3,5 (21)
House with pool 15’ from Paris,Bonneuil-sur-Marne,3 Bed,3 Bath,6 Guests,€19.4k,42,€19.4k,36%,€1.3k,0 (0)
Spacious villa near Paris/Orly and Disney,Bonneuil-sur-Marne,4 Bed,2 Bath,10 Guests,€19.1k,151,€17.7k,58%,€201.1,5 (20)
"Beautiful, modern and peaceful 3 rooms.",Bonneuil-sur-Marne,2 Bed,1 Bath,4 Guests,€25.2k,209,€14.6k,89%,€78.8,5 (121)
"Luxury villa, Ac/Spa near Paris, Orly, Disney",Bonneuil-sur-Marne,2 Bed,2 Bath,5 Guests,€15.6k,143,€14.5k,46%,€219.6,5 (26)
The Navy - Comfortable accommodation near Paris - WIFI,Bonneuil-sur-Marne,1 Bed,1 Bath,4 Guests,€13k,251,€11.5k,55%,€83.2,4 (7)
Quiet and peaceful apartment,Bonneuil-sur-Marne,2 Bed,1 Bath,4 Guests,€10.8k,77,€10.8k,66%,€211.9,5 (15)
New Disney-Paris apartment,Bonneuil-sur-Marne,2 Bed,1 Bath,6 Guests,€11.8k,288,€10.7k,30%,€125,5 (15)
BEAUTIFUL NEW 2-ROOM NEAR PARIS,Bonneuil-sur-Marne,1 Bed,1 Bath,5 Guests,€18.7k,219,€10.4k,49%,€97.1,4 (44)
Super Studio 10 minutes from PARIS,Bonneuil-sur-Marne,0 Bed,1 Bath,2 Guests,€13.5k,289,€10.3k,62%,€57.7,5 (36)
super 2 Pieces a 15 mn de Paris,Bonneuil-sur-Marne,1 Bed,1.5 Bath,4 Guests,€13k,95,€9.5k,60%,€167.2,1 (1)
NEW AND PLEASANT STUDIO,Bonneuil-sur-Marne,0 Bed,1 Bath,2 Guests,€12k,276,€9.3k,61%,€55.3,5 (48)
Bel appartement en centre-ville,Bonneuil-sur-Marne,2 Bed,1 Bath,4 Guests,€8k,230,€8k,53%,€66.1,4 (27)
Beautiful apartment with balcony.,Bonneuil-sur-Marne,1 Bed,1 Bath,2 Guests,€13.7k,179,€7.7k,69%,€61.8,0 (0)
Pleasant Private Room near Paris,Bonneuil-sur-Marne,1 Bed,1 Bath,2 Guests,€8.5k,286,€6.9k,70%,€34.5,5 (75)
pretty flirtatious room,Bonneuil-sur-Marne,1 Bed,1 Bath,2 Guests,€6.6k,51,€6.2k,51%,€237.4,5 (1)
Chambre Privée N° 1 BONNEUIL/MARNE 30 minutes from Paris,Bonneuil-sur-Marne,1 Bed,1 Bath,1 Guests,€6.5k,342,€6k,53%,€33.1,5 (66)
Beautiful Private Jacuzzi Apartment,Bonnières-sur-Seine,1 Bed,1 Bath,4 Guests,€22k,365,€22k,43%,€140.1,5 (134)
House with terrace and garden.,Bonnières-sur-Seine,2 Bed,1 Bath,4 Guests,€20.5k,283,€16.8k,56%,€106.1,5 (125)
Small house close to Giverny,Bonnières-sur-Seine,0 Bed,1.5 Bath,2 Guests,€11.4k,240,€10k,71%,€59.1,5 (32)
"Jacuzzi, romance and relaxation",Bonnières-sur-Seine,1 Bed,1 Bath,4 Guests,€5.5k,203,€5.2k,20%,€126.9,4 (25)
Appartement duplex 3 chambre 85m²,Bonnières-sur-Seine,3 Bed,3 Bath,6 Guests,€5.5k,58,€3.9k,53%,€126.5,5 (31)
"Le Cocon des Granges, SPA Sauna Jaccuzi Suite",Bonnières-sur-Seine,1 Bed,1 Bath,2 Guests,€3.6k,80,€3.3k,24%,€173.5,5 (26)
Rim's cosy house,Bonnières-sur-Seine,2 Bed,1 Bath,4 Guests,€2.1k,79,€2.1k,32%,€83.5,0 (0)
Warm furnished room,Bonnières-sur-Seine,0 Bed,1 Bath,2 Guests,€1.3k,76,€1.2k,33%,€47,0 (0)
Paname or Rouen.,Bonnières-sur-Seine,2 Bed,1 Bath,6 Guests,€1.2k,34,€1.2k,38%,€89.3,5 (3)
Bonnieres sur seine Maison agreable mitoyenne,Bonnières-sur-Seine,3 Bed,2 Bath,2 Guests,€10k,77,€1.1k,14%,€97.3,5 (50)
welcome to the zen space,Bonnières-sur-Seine,1 Bed,1 Bath,2 Guests,€1.1k,26,€1.1k,19%,€210,5 (6)
"Animaux Acceptés , 3 Jaccuzis, Jardin de Paysagiste, Grand lit Confortable,",Bonnières-sur-Seine,1 Bed,1 Bath,0 Guests,€1k,37,€1k,22%,€126.6,0 (0)
"Jacuzzi, Romantisme et Relax",Bonnières-sur-Seine,1 Bed,0.5 Bath,4 Guests,€592.6,68,€592.6,35%,€24.7,0 (0)
Beautiful Studio Terrace Gare 2Pers wifi,Bonnières-sur-Seine,0 Bed,1 Bath,2 Guests,€879.3,14,€421.7,50%,€60.3,4 (1)
Beautiful house 17th near Giverny,Bonnières-sur-Seine,6 Bed,3 Bath,15 Guests,€24.4k,1,€396,100%,€396,5 (255)
BeautifulApartment 2Pers WiFi,Bonnières-sur-Seine,1 Bed,1 Bath,2 Guests,€253.6,45,€253.6,7%,€84.5,5 (6)
Petit logement proche giverny,Bonnières-sur-Seine,0 Bed,1.5 Bath,2 Guests,€8.3k,31,€231.5,13%,€57.9,5 (9)
Character house with garden,Bouafle,4 Bed,1.5 Bath,8 Guests,€37.5k,42,€37.5k,62%,€1.4k,0 (0)
Big house,Bouafle,2 Bed,1 Bath,6 Guests,€9.3k,161,€8.1k,24%,€207.6,5 (1)
House in heart of village for 6/8 people,Bouafle,3 Bed,2 Bath,7 Guests,€13k,100,€7.8k,74%,€105.9,5 (28)
Bedroom with private bathrooms,Bouafle,1 Bed,1 Bath,2 Guests,€7.7k,201,€7.7k,34%,€113.4,4 (3)
House with hot tub and garden,Bouafle,1 Bed,1 Bath,2 Guests,€9.5k,280,€6.8k,16%,€148.3,5 (59)
House for 5/6 people 3 bedroom.,Bouafle,3 Bed,2 Bath,6 Guests,€20.2k,96,€3.6k,30%,€125.2,5 (61)
5 room house,Bouafle,4 Bed,3 Bath,10 Guests,€27.7k,7,€1.9k,100%,€265,0 (0)
"Logement lumineux, calme, agréable , 2 personnes.",Bouafle,1 Bed,1 Bath,2 Guests,€996.9,63,€813.1,21%,€62.5,5 (2)
Appartement Duplex,Bouafle,2 Bed,1 Bath,6 Guests,€750.6,38,€750.6,18%,€107.2,5 (2)
Cozy air-conditioned studio with garden near Paris,Bouafle,1 Bed,1 Bath,4 Guests,€2.9k,13,€627.5,92%,€52.3,5 (8)
Cozy Air-conditioned studio near Paris,Bouafle,1 Bed,1 Bath,4 Guests,€2.7k,12,€471.3,75%,€52.4,5 (6)
La Bouaflaise - Les Demoiselles à Versailles,Bouafle,3 Bed,2 Bath,5 Guests,€14.7k,13,€432.8,23%,€144.3,0 (0)
Apartment with spa and garden,Bouafle,1 Bed,1 Bath,2 Guests,€305,43,€305,5%,€152.5,0 (0)
Apparemment duplex,Bouafle,1 Bed,1 Bath,2 Guests,€5.6k,29,€137.8,7%,€68.9,5 (2)
Large bedroom with private shower room,Bouafle,0 Bed,1 Bath,4 Guests,€1.5k,28,€94.6,4%,€94.6,5 (17)
yann's,Bouafle,1 Bed,1 Bath,4 Guests,€90,10,€90,20%,€45,0 (0)
Chateau Bouffémont,Bouffemont,9 Bed,0 Bath,16 Guests,€794.3k,320,€782k,37%,€6.6k,0 (0)
Nice little house 25 min from Paris,Bouffemont,2 Bed,1 Bath,6 Guests,€18.8k,354,€18.2k,75%,€68.3,5 (194)
Beautiful apartment 25 min from Paris,Bouffemont,1 Bed,1 Bath,4 Guests,€14.8k,361,€14.6k,65%,€62.5,5 (95)
Comfortable apartment - station next to Paris 25 min,Bouffemont,1 Bed,1 Bath,4 Guests,€14k,351,€13.7k,64%,€60.8,5 (37)
Pleasant Maisonnette 25 minutes from Paris,Bouffemont,1 Bed,1 Bath,4 Guests,€13.2k,292,€11k,69%,€54.9,5 (100)
Rustic little house on the edge of the woods,Bouffemont,1 Bed,1.5 Bath,2 Guests,€12.6k,313,€10.8k,64%,€54.1,5 (152)
Family home,Bouffemont,3 Bed,1 Bath,6 Guests,€8.4k,50,€8.4k,44%,€380.3,0 (0)
Charming house near Paris,Bouffemont,3 Bed,0 Bath,7 Guests,€27.9k,24,€7.6k,67%,€477.4,0 (0)
Small outbuilding in leafy setting close to Paris and Chantilly.,Bouffemont,1 Bed,1 Bath,4 Guests,€4k,99,€4k,69%,€58.1,5 (1)
Warm house 35 min Paris and Stade France,Bouffemont,2 Bed,1 Bath,4 Guests,€17.4k,14,€3.8k,93%,€289.4,0 (0)
The nest,Bouffemont,1 Bed,1 Bath,2 Guests,€6k,144,€3.3k,20%,€113,5 (47)
Quiet house 40 minutes from Paris,Bouffemont,1 Bed,1 Bath,2 Guests,€12k,125,€2.9k,62%,€37.5,0 (0)
Bed and breakfast in lovely house with pool,Bouffemont,1 Bed,1.5 Bath,2 Guests,€4k,74,€2.8k,41%,€94.1,0 (0)
Hummingbirds,Bouffemont,1 Bed,1 Bath,4 Guests,€1.6k,45,€1.6k,38%,€96.8,5 (2)
Room to rent 10 min walk from the train station,Bouffemont,1 Bed,1 Bath,2 Guests,€1.3k,125,€1.3k,43%,€24.2,5 (6)
la stop 2,Bouffemont,1 Bed,1 Bath,2 Guests,€2.7k,190,€1.2k,8%,€83.2,5 (52)
Quiet and close to Paris and CDG,Bouffemont,2 Bed,1 Bath,4 Guests,€1.3k,92,€1.2k,12%,€109.6,0 (0)
Chambre 10 min à pied de la gare,Bouffemont,1 Bed,1 Bath,2 Guests,€648.7,75,€648.7,39%,€22.4,5 (2)
Family home 12 km from Paris and Versailles,Bougival,5 Bed,3.5 Bath,10 Guests,€100k,97,€76k,68%,€1.2k,0 (0)
Luxury house near Paris,Bougival,4 Bed,3 Bath,8 Guests,€43.1k,177,€29.8k,24%,€693.2,5 (8)
High standing villa 15 km from Paris,Bougival,5 Bed,7 Bath,10 Guests,€26.3k,37,€26.3k,27%,€2.6k,5 (1)
At the gates of Paris and Versailles,Bougival,5 Bed,2 Bath,10 Guests,€47.6k,47,€26.1k,38%,€1.5k,0 (0)
Boat - Bougival,Bougival,3 Bed,2 Bath,50 Guests,€26k,163,€26k,9%,€1.9k,5 (53)
Escape Urbaine - Centre Bougival - 4 people,Bougival,1 Bed,1 Bath,4 Guests,€21.3k,223,€21.1k,47%,€201,0 (0)
"house near Paris with large garden, pool",Bougival,6 Bed,4 Bath,12 Guests,€20.3k,62,€18.6k,52%,€581.1,0 (0)
Gorgeous Wooden Architect House Between Paris and Versailles,Bougival,6 Bed,3.5 Bath,8 Guests,€28.7k,75,€18.2k,57%,€423.9,5 (1)
Charming Duplex Bougival Station,Bougival,2 Bed,2 Bath,6 Guests,€27.2k,179,€17.8k,45%,€219.7,5 (2)
Bougival cottages - chalet3: 6 people,Bougival,2 Bed,1 Bath,6 Guests,€18.9k,289,€16.8k,41%,€140.8,5 (41)
Let's take a walk in the woods,Bougival,2 Bed,1 Bath,6 Guests,€25.8k,217,€16.5k,56%,€135.4,5 (0)
"House with pool, possibility of cook",Bougival,3 Bed,1.5 Bath,6 Guests,€16.3k,47,€16.3k,43%,€816.8,0 (0)
Charming home historic site,Bougival,3 Bed,2 Bath,6 Guests,€57k,92,€15k,83%,€197.3,0 (0)
Bougival Cottages: Chalet 1 : 3 people,Bougival,1 Bed,1.5 Bath,3 Guests,€15.2k,343,€14.8k,45%,€95.9,5 (98)
Beautiful Art Deco villa with heated pool sauna,Bougival,5 Bed,4 Bath,8 Guests,€18.7k,30,€13.8k,100%,€461.3,5 (1)
Olympic Games 2024 Villa with pool near Versailles,Bougival,4 Bed,4 Bath,10 Guests,€185.5k,36,€11.8k,44%,€738.9,5 (1)
Charming studio with terrace - at LyMa's,Bougival,0 Bed,1 Bath,2 Guests,€13.8k,315,€11.4k,61%,€59.3,5 (23)
3 bedrooms at the host in a cinema setting.,Bougival,3 Bed,1 Bath,6 Guests,€13.7k,288,€10.8k,56%,€67.4,5 (51)
Domaine des Ecuries Vailley.....,Bouleurs,4 Bed,1 Bath,8 Guests,€39.6k,363,€39.3k,50%,€217.4,4 (5)
Domaine des Écuries de la Source de Vailley,Bouleurs,4 Bed,1 Bath,8 Guests,€35.8k,352,€35.5k,50%,€202.9,4 (3)
"Near Disneyland, LA PARISIENNE",Bouleurs,2 Bed,1 Bath,4 Guests,€25.3k,296,€19.6k,49%,€135.5,5 (13)
Family house near Disneyland (4 - 6 people),Bouleurs,3 Bed,1 Bath,6 Guests,€25.7k,256,€19.6k,57%,€133.5,5 (104)
Le Cocon en Duplex with terrace and private garage,Bouleurs,1 Bed,1 Bath,4 Guests,€19.5k,363,€19.4k,52%,€103.6,5 (39)
Peaceful bedroom DisneyLand Paris,Bouleurs,2 Bed,1 Bath,4 Guests,€22k,303,€19k,66%,€95.2,5 (97)
cozy rooms in Disneyland Paris,Bouleurs,2 Bed,1 Bath,4 Guests,€20.1k,315,€17.5k,60%,€92,5 (117)
Relax House & SPA Disney,Bouleurs,1 Bed,1 Bath,4 Guests,€18k,103,€17.4k,60%,€280.7,0 (0)
small home near Disneyland,Bouleurs,2 Bed,1.5 Bath,4 Guests,€15.7k,294,€12.8k,47%,€92.3,5 (35)
Studio 15 mins to Disneyland Paris,Bouleurs,0 Bed,1 Bath,2 Guests,€12k,347,€11.4k,47%,€69.5,5 (32)
"House town 145m2, 15’Disney / Chessy, 55’ Paris",Bouleurs,3 Bed,2 Bath,8 Guests,€8.2k,161,€8.2k,33%,€154.4,0 (0)
Studio Indépendant à 15mn de Disneyland Paris,Bouleurs,1 Bed,1 Bath,2 Guests,€7.6k,228,€7.2k,44%,€71.8,0 (0)
"Cozy and modern loft 10’ from Disney, 30´from Paris",Bouleurs,1 Bed,1 Bath,5 Guests,€7k,345,€6.9k,19%,€108.5,5 (12)
Cheerful studio 15 mins to Disneyland Paris,Bouleurs,0 Bed,1 Bath,2 Guests,€4.6k,166,€4.6k,36%,€76.7,5 (3)
Les Conviviales de Seine-et-Marne,Bouleurs,2 Bed,1.5 Bath,4 Guests,€15.1k,52,€2.8k,48%,€110.5,5 (5)
Villa 4 bedrooms in Bouleurs countryside view,Bouleurs,4 Bed,1 Bath,10 Guests,€1.3k,67,€1.3k,13%,€149.8,3 (6)
Beautiful wooden house 9.5 km from Disneyland,Bouleurs,3 Bed,1 Bath,7 Guests,€1.1k,38,€1.1k,18%,€150.7,0 (0)
Beautiful room available by the week or by the month.,Bouleurs,2 Bed,1 Bath,2 Guests,€7.8k,29,€751.6,52%,€50.1,0 (0)
Lesparisnormands - Queen's Duplex,Boulogne-Billancourt,4 Bed,2 Bath,8 Guests,€177.8k,205,€105.5k,70%,€732.7,5 (34)
"Cosy house 2 min away from Paris, Maison à la Porte de Paris, 6 bedrooms",Boulogne-Billancourt,6 Bed,1 Bath,10 Guests,€141.9k,261,€93.6k,36%,€1k,4 (10)
Boulogne Nord Magnifique 2 Pièces Très Lumineux Avec Balcon et vue Tour Eiffel,Boulogne-Billancourt,1 Bed,1 Bath,2 Guests,€86k,246,€83.7k,95%,€359.2,5 (0)
"Quai de Seine, overlooking the Seine",Boulogne-Billancourt,2 Bed,1 Bath,4 Guests,€85.3k,316,€82.3k,93%,€281,5 (9)
Double Family Apartment,Boulogne-Billancourt,6 Bed,4.5 Bath,12 Guests,€85.9k,260,€74.6k,35%,€810.7,5 (2)
Luxury 2 Flats - 3 floors - 16 guests near Paris,Boulogne-Billancourt,8 Bed,6 Bath,16 Guests,€97.3k,36,€66k,78%,€2.4k,0 (0)
Magnifique appartement 3 étages avec terrasse,Boulogne-Billancourt,4 Bed,3.5 Bath,8 Guests,€87.4k,63,€64.8k,68%,€1.5k,0 (0)
Exceptional apartment 100 meters from Roland Garros,Boulogne-Billancourt,3 Bed,3 Bath,6 Guests,€378.8k,43,€63.8k,74%,€2k,0 (0)
Superbe Appartement Dans un Parc Surplombant Paris,Boulogne-Billancourt,1 Bed,1 Bath,3 Guests,€68.4k,323,€61.1k,91%,€208.7,2 (0)
House next to Roland Garros & Parc des Princes,Boulogne-Billancourt,4 Bed,4.5 Bath,6 Guests,€138.4k,36,€60.4k,94%,€1.8k,0 (0)
Beautiful family apartment sleeping 5/6,Boulogne-Billancourt,3 Bed,2.5 Bath,6 Guests,€62.2k,341,€57.4k,73%,€229.8,5 (56)
3 room apartment Roland Garros 65 m2 + parking,Boulogne-Billancourt,2 Bed,1 Bath,4 Guests,€61.8k,329,€56.4k,81%,€210.5,5 (15)
Modern apt- Seine view- Calm,Boulogne-Billancourt,2 Bed,2.5 Bath,4 Guests,€66.8k,290,€55.9k,54%,€358.1,5 (1)
2 mn R. Garros et JO Duplex A/C Rooftop 3 bedrooms,Boulogne-Billancourt,3 Bed,2 Bath,6 Guests,€70.4k,129,€54.5k,58%,€726.3,5 (6)
Call apartment modern balcon vue tour Eiffel,Boulogne-Billancourt,1 Bed,1 Bath,2 Guests,€67.9k,255,€53.6k,97%,€217,5 (47)
Beautiful bright apartment/ Happy rooftop 120 m2,Boulogne-Billancourt,3 Bed,3 Bath,7 Guests,€57.4k,285,€52.9k,36%,€508.4,5 (62)
Boulogne /Roland Garros family house,Boulogne-Billancourt,4 Bed,2 Bath,7 Guests,€104k,145,€52.7k,76%,€479.2,5 (4)
Architect's House - Boulogne,Boulogne-Billancourt,4 Bed,3 Bath,12 Guests,€51.8k,237,€51.6k,36%,€607.5,4 (7)
"Pool, greenery and relaxation in the forest near Paris",Bourdonne,6 Bed,3 Bath,14 Guests,€65.5k,199,€41.6k,46%,€456.7,5 (12)
Beautiful renovated villa 2023 Air-conditioned pool SPA,Bourdonne,5 Bed,6 Bath,10 Guests,€25.6k,71,€25.3k,34%,€1.1k,5 (1)
La Grande Valoise,Bourdonne,3 Bed,1 Bath,6 Guests,€19.5k,191,€19.2k,57%,€178,5 (31)
Beautiful house pool tennis 50min Paris 2ha,Bourdonne,9 Bed,3.5 Bath,12 Guests,€30.1k,40,€18.9k,43%,€1.1k,0 (0)
Charming independent room - Services ++,Bourdonne,0 Bed,1 Bath,2 Guests,€16.7k,241,€10.4k,74%,€58.4,5 (89)
Architect villa with pool 50 km from Paris,Bourdonne,4 Bed,3 Bath,8 Guests,€13.3k,59,€8.7k,29%,€511.5,0 (0)
La Petite Valoise,Bourdonne,1 Bed,1 Bath,4 Guests,€5.5k,109,€5.2k,49%,€98.2,5 (48)
Home / Little house near Paris,Bourdonne,1 Bed,1 Bath,2 Guests,€5k,225,€4.4k,24%,€82.2,5 (51)
Luxurious property (78),Bourdonne,5 Bed,3 Bath,9 Guests,€4.2k,30,€4.2k,10%,€1.4k,0 (0)
Charming quiet country house,Bourdonne,2 Bed,2 Bath,4 Guests,€6.3k,59,€3.5k,49%,€121.3,5 (8)
Charming House 40 min Paris - Nice amenities,Bourdonne,2 Bed,1 Bath,5 Guests,€16.1k,2,€343.6,100%,€171.8,5 (11)
Room in country house in Bourdonné,Bourdonne,1 Bed,1 Bath,2 Guests,€233.4,68,€233.4,4%,€77.8,5 (27)
Country home,Bourdonne,2 Bed,1 Bath,2 Guests,€136,28,€68.9,4%,€68.9,5 (7)
Grand Apartment Cosy - Close to Paris/2 min RER B,Bourg-la-Reine,2 Bed,1 Bath,5 Guests,€44.9k,318,€44.6k,85%,€165.7,5 (63)
"New duplex, 15 minutes from Paris, parking, air conditioning",Bourg-la-Reine,2 Bed,1.5 Bath,4 Guests,€30.5k,318,€27k,78%,€108.4,5 (55)
Look forward to a wonderful break in beautiful surroundings in this cozy vacation home.,Bourg-la-Reine,4 Bed,1 Bath,8 Guests,€38.9k,40,€24.6k,80%,€767.5,0 (0)
"Charming house, absolute calm, close to Paris",Bourg-la-Reine,3 Bed,2 Bath,7 Guests,€26.8k,68,€23.9k,49%,€725,0 (0)
Bourg-la-Reine: superb apartment near Paris,Bourg-la-Reine,0 Bed,1 Bath,2 Guests,€24.8k,320,€22.6k,88%,€80.2,5 (88)
